Name of the table	ORPHA number	Disease label	Source	Reference
PatRef	701	Alopecia universalis	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28%22alopecia%22%5BMeSH+Terms%5D+OR+alopecia%5BTitle/Abstract%5D%29+AND+universalis%5BTitle/Abstract%5D
PatRef	1011	Alopecia - hypogonadism - extrapyramidal disorder	PubMed	neant
PatRef	64	Alström syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28Alstrom%5Btw%5D+AND+syndrome%5Ball%5D%29+OR+Alstrom%5Bti%5D
PatRef	1021	Amaurosis - hypertrichosis	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=amaurosis+hypertrichosis
PatRef	1027	Autosomal recessive amelia	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28Amelia%5Bti%5D+NOT+medline%5Bsb%5D%29+OR+%28amelia%5Btw%5D+AND+%28ectromelia/ge+OR+ectromelia/cn%29%29
PatRef	1031	Amelogenesis imperfecta - nephrocalcinosis	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=((Amelogenesis+imperfecta)+nephrocalcinosis)+OR+%22enamel+renal+syndrome%22
PatRef	1034	Amniotic bands	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Amniotic+band+syndrome+OR+%28Terminal+transverse%5Btw%5D+AND+arm%5Btw%5D%29
PatRef	1035	Encephalopathy due to beta-mercaptolactate-cysteine disulfiduria	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=disulfiduria
PatRef	1037	Arthrogryposis multiplex congenita	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Amyoplasia+congenita%5Btw%5D+OR+Arthrogryposis+multiplex+congenita%5Btw%5D
PatRef	1040	Metaphyseal anadysplasia	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Metaphyseal%5BAll+Fields%5D+AND+anadysplasia%5BAll+Fields%5D
PatRef	1041	Hydrops fetalis	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=Hydrops+Fetalis%5Bti%5D+OR+%09Hydrops+Fetalis%5Bmh%5D
PatRef	1052	Mosaic variegated aneuploidy syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=(mosaic+OR+mosaicism)+variegated+aneuploidy
PatRef	1053	Vein of Galen aneurysm	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Vein+of+Galen%5Btw%5D+AND+aneurysm
PatRef	1060	Angiomatosis systemic cystic - Seip syndrome	PubMed	neant
PatRef	1068	Aniridia-intellectual deficit syndrome	PubMed	neant
PatRef	1071	Ankyloblepharon - ectodermal defects - cleft lip palate	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Ankyloblepharon+AND+ectodermal+dysplasia+AND+%28cleft+lip+OR+cleft+palate%29
PatRef	1077	Ankylosis of teeth	PubMed	neant
PatRef	1078	Thumb stiffness - brachydactyly - intellectual deficit	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=ankylosed+thumb+mental+retardation
PatRef	1094	Anonychia - microcephaly	PubMed	neant
PatRef	1102	Anophthalmia - hypothalamo-pituitary insufficiency	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28Anophthalmi*+OR+anophthalmos+OR+microphthalmia%29+AND+%28Hypothalamic+Diseases%29
PatRef	1106	Ophthalmo acromelic syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Ophthalmo+acromelic+syndrome+OR+%28waardenburg%5Btw%5D+AND+anophthalmia%29+OR+%28anophthalmia+AND+syndactyly%29
PatRef	83	Antley-Bixler syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28multisynostotic+osteodysgenesis+OR+%28Antley%5BTI%5D+AND+bixler%5BTI%5D%29%29+NOT+steroidogenesis
PatRef	1112	Aphalangy - hemivertebrae - urogenital-intestinal dysgenesis	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28finger+phalanges/ab+OR+Aphalang*%29+AND+%28spine/ab+OR+hemivertebra*%29
PatRef	1118	Fibular aplasia - ectrodactyly	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=(fibula%2Fab+OR+fibular)+(hypoplas*+OR+aplas*+OR+absen*+OR+agenesis)+(ectrodactyly+OR+split+hand+OR+split+foot+OR+brachydactyl*)
PatRef	1125	Ocular motor apraxia, Cogan type	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28congenital+ocular+motor+apraxia+OR+oculomotor+apraxia%29+AND+cogan
PatRef	1133	AREDYLD syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28ACRORENAL+FIELD+DEFECT+ECTODERMAL+DYSPLASIA+LIPOATROPHIC+DIABETES%29+OR+AREDYLD
PatRef	1144	Arthrogryposis-like hand anomaly - sensorineural deafness	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28Arthrogryposis+OR+arthrogryp*[ti]+OR+hand+abnorm*[ti]%29+%28deafness[ti]+OR+hearing+loss[mh]+OR+%28Stewart[tw]+Bergstrom[tw]%29%29
PatRef	1150	Arthrogryposis multiplex congenita - whistling face	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28Arthrogryposis+OR+Arthrogrypo*%29+AND+whistling+face+NOT+Freeman+Sheldon%5Btw%5D
PatRef	1170	Autosomal recessive cerebelloparenchymal disorder type 3	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28nonprogressive+OR+non+progressive%29+AND+%28congenital+ataxia*%5Bti%5D+OR+ataxia/cn+OR+%28ataxia/ge+AND+congenital%29%29
PatRef	1175	X-linked cerebellar ataxia	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28%28ataxia%5Bti%5D+AND+medline%5Bsb%5D%29+OR+Cerebellar+ataxia%5Bmajr%5D%29+AND+%28X+linked%5Bti%5D+OR+chromosome+X%5Bmajr%5D%29+NOT+anemia
PatRef	1173	Cerebellar ataxia - hypogonadism	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28cerebellar+ataxia%5Bmh%5D+OR+ataxia%5Bti%5D%29+hypogonadism%5Bti%5D
PatRef	1180	Ataxia - hypogonadism - choroidal dystrophy	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28ataxia%5Bmh%5D+OR+Ataxia%5Bti%5D%29+AND+hypogonadism+AND+%28choroidal+OR+chorioretinal%29
PatRef	1185	Spinocerebellar ataxia - dysmorphism	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=spinocerebellar+ataxia+unusual+facies+dysarthria+gait+ataxia
PatRef	1186	Infantile onset spinocerebellar ataxia	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=ophthalmoplegia+%28ataxia%5Bmh%5D+OR+ataxia%5Bti%5D%29+%28infant+OR+infantile%29
PatRef	1188	Ataxia-deafness-retardation syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=Ataxia%5Bti%5D+(deafness%5Bti%5D+OR+hearing+loss%5Bti%5D)+retardation%5Bti%5D
PatRef	1190	Atelosteogenesis I	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Atelosteogenesis+%28type+1%5Btw%5D+OR+type+i%5Btw%5D%29+OR+giant+cell+chondrodysplasia+OR+spondylo+humero+femoral+hypoplas*
PatRef	1193	Atkin-Flaitz syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=ATKIN%5BAll+Fields%5D+FLAITZ%5BAll+Fields%5D+syndrome
PatRef	1208	Pulmonary atresia - intact ventricular septum	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=Pulmonary+atresia+(intact+heart+septum+OR+intact+ventricular+septum%5Btw%5D)
PatRef	1214	Progressive hemifacial atrophy	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22facial+hemiatrophy%22%5BTI%5D+OR+%22facial+hemiatrophy%22%5BMH%5D+OR+%28Hemifacial+atrophy%5BTW%5D+AND+progressive%5BAll%5D%29
PatRef	1219	Aurocephalosyndactyly	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=auralcephalosyndactyly+OR+%28auro%5Btw%5D+cephalo%5Btw%5D+syndactyly%29
PatRef	1221	Cheilitis glandularis	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Cheilitis+glandularis
PatRef	1226	Bamforth syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Bamforth+synd*[tw]+OR+Bamforth+Laz*[tw]+OR+%28%28hypothyroidism[mh]+OR+Hypothyroidism[ti]%29+%28cleft+palate[mh]+OR+cleft+palate[ti]%29%29
PatRef	1227	Bangstad syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28nanism+OR+dwarfism%29+AND+ataxia+AND+%28Gonadal+Hormones/df+OR+gonadal+insufficiency%29
PatRef	1228	Banki syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28Synostosis[ti]+OR+synostoses[mh]+OR+syndactyly[mh]+OR+syndactyly[Ti]%29+%28carpal+bones/ab+OR+carpal+bones[Ti]+OR+wrist+bones[ti]%29+fingers/ab
PatRef	109	Bannayan-Riley-Ruvalcaba syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28bannayan+AND+riley+AND+ruvalcaba%29+OR+bannayan+riley+ruvalcaba+OR+ruvalcaba+myhre+smith
PatRef	1229	Congenital intrauterine infection-like syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=(infection+like%5Bti%5D+OR+Intrauterine+infection%5Bti%5D)+(intracranial+calcification+OR+brain+calcinosis)
PatRef	1231	Barber-Say syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Barber+say+syndrome%5Btw%5D+OR+%28%28hirsut*+OR+Hypertricho*%29+%28atrophic+skin+OR+Skin+Abnormalities%5Bmh%5D%29+ectropion+macrostom*%29
PatRef	1234	Bartsocas-Papas syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Bartsocas+papas%5Btw%5D+OR+%28Popliteal+pterygium%5Bti%5D+AND+lethal%5Btw%5D%29
PatRef	1236	Intellectual deficit - athetosis- microphthalmia	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=%22Bd+syndrome%22%5BAll+Fields%5D
PatRef	115	Beals syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Beals+Hecht%5Btw%5D+OR+Beals+syndrome%5Btw%5D+OR+Congenital+contractural+arachnodactyly%5Btw%5D
PatRef	1237	Beemer-Ertbruggen syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Beemer+von+Ertbruggen+OR+%28hydrocephalus+AND+heart+defects%2C+congenital+AND+dense+bone*%29
PatRef	1239	Behr syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Behr+syndrome%5Btw%5D+OR+%28%28Optic+Atrophies%2C+Hereditary%5Bmh%3Anoexp%5D+AND+infantile%29+NOT+%28Leber%5Btw%5D+OR+leber%27s%5Btw%5D%29%29
PatRef	1248	Maxillo-nasal dysplasia	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Maxillo+nasal%5Btw%5D+dysplasia+OR+Binder+syndrome%5Btw%5D+OR+%28Binder%5Btw%5D+AND+Maxillofacial+Abnormalities%29
PatRef	1251	Blepharo-facio-skeletal syndrome	PubMed	neant
PatRef	1261	Bonnemann-Meinecke-Reich syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28encephalopath*%5Bti%5D+AND+calcification*%5Bti%5D+AND+%28basal+ganglia%5Bti%5D+OR+intracerebr*%5Bti%5D%29+NOT+lymphocytos*%29
PatRef	1263	Boomerang dysplasia	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Boomerang+dysplasia
PatRef	127	Borjeson-Forssman-Lehmann syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Borjeson+Forssman+Lehmann
PatRef	1266	Dermato-cardio-skeletal syndrome, Borrone type	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Dermatocardioskeletal+OR+%28dermato+cardio+skeletal%29+OR+%28borrone+Crovato+Camera%29
PatRef	1270	Bowen-Conradi syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Bowen+Conradi+OR+bowen+hutterite
PatRef	1276	Brachydactyly - arterial hypertension	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28Brachydactyly%5Bti%5D+OR+Hand+Deformities%2C+Congenital%29+%28hypertension%5Bti%5D+OR+hypertension+%5Bmh%5D%29+OR+Bilginturan%5Btw%5D
PatRef	1292	Brachymorphism - onychodysplasia - dysphalangism	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28hand+deformities%2C+congenital+OR+Brachymorphism%29+%28Nails%2C+Malformed+OR+onychodysplasia%29+%28dysphalangism+OR+Finger+Phalanges/ab%29
PatRef	1293	Brachyolmia	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Brachyolmia+OR+%28short+trunk%5Btw%5D+dwarfism+AND+%28spondyloepiphyseal+dysplasia%5Bti%5D+OR+osteochondrodysplasias%5Bmh%5D%29%29
PatRef	1297	Branchio-oculo-facial syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Branchio+oculo+facial%5Btw%5D
PatRef	1299	Branchio-skeleto-genital syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=skeleto+genital
PatRef	1300	Autosomal dominant pterygium popliteal syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=Pterygium+popliteal+syndrome
PatRef	1301	Bronchiectasis - oligospermia	PubMed	neant
PatRef	1305	Oculo-digito-esophageal-duodenal syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28Oculo+digito+esophageal%29+OR+oculodigitoesophagoduodenal+OR+Feingold+syndrome%5Btw%5D
PatRef	1317	CAMFAK syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Camfak+OR+cataract+microcephaly+failure+to+thrive+OR+cataract+microcephaly+kyphosis
PatRef	1318	Campomelia, Cumming type	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Campomeli*+Cumming
PatRef	1319	Camptobrachydactyly	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Camptobrachydactyl*+OR+%28camptodactyl*+AND+brachydactyl*+AND+%28contracture+OR+arthrogryposis%29%29
PatRef	1321	Camptodactyly - fibrous tissue hyperplasia - skeletal dysplasia	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Fibrous+Dysplasia+of+Bone+AND+fingers/ab+AND+%28Hand+Deformities%2C+Congenital+OR+Camptodactyl*%29
PatRef	1323	Camptodactyly - joint contractures - facial skeletal defects	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=Camptodactyly++contractures+(eye+abnormalities+OR+ptosis+OR+Rozin%5Bti%5D)
PatRef	1325	Camptodactyly - taurinuria	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Camptodactyly+%28taurinuri*+OR+taurine/ur%29
PatRef	1326	Camptodactyly syndrome, Guadalajara type 2	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Camptodactyly+Guadalajara+ii
PatRef	1328	Camurati-Engelmann disease	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Camurati+Engelmann%5Btw%5D+OR+Engelmann%27s+disease%5Btw%5D+OR+Diaphyseal+Dysplasia%2C+Progressive
PatRef	2856	Persistent Mullerian duct syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28Persisten*%5Bti%5D+OR+remnant%5Bti%5D%29+%28mullerian+duct*%5Btw%5D+OR+mullerian+ducts%5Bmh%5D%29
PatRef	1335	Cantrell pentalogy	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Cantrell+pentalogy+OR+thoracoabdominal+syndrome%5Bti%5D
PatRef	1345	Cardiomyopathy - cataract - hip spine disease	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Krasnow+N+Qazi+QH+OR+%28cardiomyopath*%5Bti%5D+And+cataract*%5Bti%5D+AND+hip%5Bti%5D%29
PatRef	1350	Heart-hand syndrome type 2	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Tabatznik+%28heart+hand%29+OR+%28Temtamy%5B1au%5D+McKusick%29
PatRef	1361	Carnosinemia	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Carnosinemia+OR+Carnosinase+deficiency%5Btw%5D+NOT+Homocarnosin*
PatRef	1366	Cataract - alopecia - sclerodactyly	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=cataract+alopecia+sclerodactyly
PatRef	1368	Cataract - ataxia - deafness	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=congenital+CATARACT+ATAXIA+sensorineural+DEAFNESS+mental+RETARDATION
PatRef	1373	Cataract - aberrant oral frenula - growth delay	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=cataract+frenula+growth+retardation
PatRef	163	Hereditary hyperferritinemia with congenital cataracts	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Hyperferritinemia+AND+cataract%5Bmh%5D
PatRef	1375	Cataract - hypertrichosis - intellectual deficit	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=CAHMR+syndrome
PatRef	1377	Cataract-microcornea syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=cataract*%5Bti%5D+AND+microcornea%5Bti%5D
PatRef	1380	Cataract - nephropathy - encephalopathy	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=cataract*%5Bti%5D+AND+nephropathy+AND+encephalopathy
PatRef	1381	Cataract - intellectual deficit - anal atresia - urinary defects	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=cataract+Karandikar
PatRef	1393	Cerebro-costo-mandibular syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Cerebro+costo+mandibular+OR+Cerebrocostomandibular+OR+%28Rib+gap+defects+AND+micrognathia%29
PatRef	1395	Cerebro-oculo-skeleto-renal syndrome	PubMed	neant
PatRef	1396	Cerebro-reno-digital syndrome	PubMed	neant
PatRef	1398	Cerebellar hypoplasia	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Cerebellar+hypoplasia*%5Bti%5D+OR+Cerebellar+abnormalit*%5Bti%5D
PatRef	1399	Richards-Rundle syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=deaf+mutism[ti]+%28ataxia[ti]+OR+spino+cerebellar+degeneration%29+OR+%28%28hearing+loss[ti]+OR+deafness[ti]%29+ataxia[ti]+mental+retardation%29
PatRef	1401	CHAND syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Chands%5Btw%5D+OR+chand+syndrome*%5Btw%5D
PatRef	1408	Hair defect - photosensitivity - intellectual deficit	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=photosensitivity+eyelashes+mental+retardation
PatRef	1410	Uncombable hair syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=uncombable+hair%5Bti%5D+OR+spun+glass+hair%5Bti%5D+OR+pili+trianguli+et+canaliculi%5Bti%5D
PatRef	1412	Tarsal-carpal coalition syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=(tarsal%5Bti%5D+carpal%5Bti%5D+OR+carpal+bones%2Fab+tarsal+bones%2Fab)+(Synostosis+OR+coalition)+NOT+Spondylocarpotarsal
PatRef	1416	Familial articular chondrocalcinosis	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28chondrocalcinosis%5Bmajr%5D+OR+Chondrocalcinosis%5BTi%5D%29+%28familial%5Btw%5D+OR+family+OR+congenital+OR+genetics%29
PatRef	1418	Lethal neonatal chondrodysplasia punctata	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28Chondrodysplasia*%5Bti%5D+OR+osteochondrodysplasias%5Bmajr%5D%29+lethal%5Bti%5D
PatRef	174	Metaphyseal chondrodysplasia, Schmid type	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28chondrodysplasia+OR+osteochondrodysplasias%5Bmh%5D%29+AND+Schmid%5Btw%5D
PatRef	1425	Desbuquois syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Desbuquois%5Bti%5D
PatRef	1426	Greenberg dysplasia	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Greenberg%5Bti%5D+dysplasia%5Bti%5D+OR+%28chondrodystrophy%5Bti%5D+AND+congenital+hydrops%5Bti%5D%29
PatRef	1427	Otospondylomegaepiphyseal dysplasia	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Oto+spondylo+megaepiphyseal+OR+Otospondylomegaepiphyseal+OR+OSMED%5Btw%5D
PatRef	1440	Ring chromosome 14	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=((Chromosome+14%5Bmh%5D+ring+chromosomes%5Bmh%5D)+OR+(ring+chromosome+14%5Btw%5D+NOT+deletion))+NOT+(Translocation%5Bmh%5D+OR+trisomy)
PatRef	1443	Mosaic Ring chromosome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=((Chromosome+19%5Bmh%5D+ring+chromosomes%5Bmh%5D)+OR+ring+chromosome+19%5Btw%5D)+NOT+trisomy
PatRef	1449	Ring chromosome 7	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=(Chromosome+7%5Bmh%5D+ring+chromosomes%5Bmh%5D)+OR+ring+chromosome+7%5Btw%5D
PatRef	1454	Joubert syndrome with hepatic defect	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Coach+syndrome%5Btw%5D
PatRef	190	Coats disease	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Coats+disease%5Btw%5D+OR+Coats%27s+disease%5Btw%5D
PatRef	1466	COFS syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Cofs[ti]+OR+%28Cerebro[ti]+oculo[ti]+%28facio[ti]+OR+facial[ti]+OR+facioskeletal[ti]%29+%28skeletal[ti]+OR+facioskeletal[ti]%29%29
PatRef	1471	Coloboma of macula - brachydactyly type B	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=coloboma+AND+%28brachydactyl*%5Bti%5D+OR+%28%22type+b%22+brachydactyly%29%29+OR+Sorsby+syndrome%5Btw%5D
PatRef	1490	Corneal dystrophy - perceptive deafness	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=(Corneal+Dystrophies,+Hereditary%5Bmh%5D+OR+Corneal+dystroph*%5Btw%5D)+(deafness+OR+hearing+loss)+OR+Harboyan%5Btw%5D
PatRef	1495	Intellectual deficit - hypoplastic corpus callosum - preauricular tag	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=mental+retardation+hypoplastic+corpus+callosum+preauricular+tag
PatRef	1515	Sensenbrenner syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=(Sensenbrenner%5B1au%5D+hair%2Fab)+OR+cranioectodermal+dysplasia%5Bti%5D+OR+Sensenbrenner*%5Btw%5D+syndrome
PatRef	1519	Craniofrontonasal dysplasia, Teebi type	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28Brachycephalofrontonasal%5Btw%5D+OR+craniofrontonasal%5Btw%5D+OR+cranio+fronto+nasal%5Btw%5D+OR+hypertelorism+syndrome%5Btw%5D%29+AND+teebi%5Btw%5D
PatRef	1520	Craniofrontonasal dysplasia	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Craniofrontonasal%5Bti%5D+OR+Cranio+fronto+nasal%5Bti%5D
