Name of the table	ORPHA number	Disease label	Type of label (Pat= main name; syn= synonym)
PatAls	1570	Symbrachydactyly of hands and feet	Pat
PatAls	2649	Richieri Costa-Guion Almeida syndrome	Syn
PatAls	2649	Short stature - intellectual deficit - eye anomalies - cleft/lip palate	Pat
PatAls	1258	Blepharoptosis - cleft palate - ectrodactyly - dental anomalies	Pat
PatAls	1258	Rodini - Richieri Costa syndrome	Syn
PatAls	2161	Holoacardius amorphus	Pat
PatAls	1759	Thoraco-abdominal enteric duplication	Pat
PatAls	489	Thyroglossal duct cyst	Pat
PatAls	489	Thyroglossal tract cyst	Syn
PatAls	1277	Brachydactyly - mesomelia - intellectual deficit - heart defects	Pat
PatAls	1277	Stratton-Garcia-Young syndrome	Syn
PatAls	2547	Thomas-Jewett-Raines syndrome	Syn
PatAls	2547	Microphthalmia - microtia - fetal akinesia	Pat
PatAls	1778	Seaver-Cassidy syndrome	Syn
PatAls	1778	Facial dysmorphism -shawl scrotum - joint laxity	Pat
PatAls	3074	Stoll-Géraudel-Chauvin syndrome	Syn
PatAls	3074	Intellectual deficit - short stature - hypertelorism	Pat
PatAls	1773	Sacrococcygeal dysgenesis association	Pat
PatAls	3167	Siegler-Brewer-Carey syndrome	Pat
PatAls	1415	Hardikar syndrome	Syn
PatAls	1415	Cholestasis pigmentary - retinopathy - cleft palate	Pat
PatAls	3048	Intellectual deficit - hypocupremia - hypobetalipoproteinemia	Pat
PatAls	2151	Hirschsprung disease - ganglioneuroblastoma	Pat
PatAls	2761	Brittle bone syndrome, lethal type	Pat
PatAls	2761	Maroteaux-Cohen Solal-Bonaventure syndrome	Syn
PatAls	2653	Osteochondrodysplatic nanism - deafness - retinitis pigmentosa	Pat
PatAls	2653	Osteochondrodysplatic dwarfism - deafness - retinitis pigmentosa	Syn
PatAls	1492	Corpus callosum agenesis - double urinary collecting system	Pat
PatAls	1492	Ben Ari-Shuper-Mimouni syndrome	Syn
PatAls	2519	Microcephaly - seizures - intellectual deficit - heart disease	Pat
PatAls	3072	Intellectual deficit - progressive spasticity, X-linked	Pat
PatAls	3072	Intellectual deficit, X-linked, due to MECP2 duplication	Syn
PatAls	2458	Mandibulofacial dysostosis - deafness - postaxial polydactyly	Pat
PatAls	2458	Opitz-Reynolds-FitzGerald syndrome	Syn
PatAls	1424	Chondrodysplasia - situs inversus - imperforate anus - polydactyly	Pat
PatAls	1424	Impossible syndrome	Syn
PatAls	2795	Fowler-Christmas-Chapple syndrome	Syn
PatAls	2795	Polycystic ovaries - urethral sphincter dysfunction	Pat
PatAls	2033	Muscular fibrosis, multifocal - obstructed vessels	Pat
PatAls	2125	Sacral hemangiomas - multiple congenital abnormalities	Pat
PatAls	1434	Choroideremia - hypopituitarism	Pat
PatAls	2666	Nephronophtisis familial, adult form - spastic quadriparesia	Pat
PatAls	1459	Celiac disease - epilepsy - occipital calcifications	Pat
PatAls	1884	Noble-Bass-Sherman syndrome	Syn
PatAls	1884	Ectopia lentis - chorioretinal dystrophy - myopia	Pat
PatAls	3405	Umbilical cord ulceration - intestinal atresia	Pat
PatAls	1167	Facial asymmetry - temporal seizures	Pat
PatAls	2254	Pontocerebellar hypoplasia type 1	Pat
PatAls	2582	Myalgia-eosinophilia syndrome, associated with tryptophan	Pat
PatAls	3360	Katsantoni-Papadakou Lagoyanni syndrome	Syn
PatAls	3360	Trichodermal syndrome - intellectual deficit	Pat
PatAls	1423	Chondrodysplasia, lethal recessive	Pat
PatAls	1423	Maroteaux-Stanescu-Cousin syndrome	Syn
PatAls	2183	Sengers-Hamel-Otten syndrome	Syn
PatAls	2183	Hydrocephalus - obesity - hypogonadism	Pat
PatAls	1853	Pagon-Stephan syndrome	Syn
PatAls	1853	Septooptic dysplasia - digital anomalies	Pat
PatAls	1789	Craniofacial dysostosis - arthrogryposis - progeroid appearance	Pat
PatAls	1789	Van Biervliet-Hendrickx -van Ertbruggen syndrome	Syn
PatAls	2349	Hoffman's syndrome	Syn
PatAls	2349	Kocher-Debre-Semelaigne syndrome	Pat
PatAls	2349	Muscular pseudohypertrophy - hypothyroidism	Syn
PatAls	2898	Hyde Forster-McCarthy-Berry syndrome	Syn
PatAls	2898	Intellectual deficit, X-linked - plagiocephaly	Pat
PatAls	1474	Hittner-Hirsch-Kreh syndrome	Syn
PatAls	1474	Colobomatous - microphthalmia - heart disease - hearing loss	Pat
PatAls	2062	Progressive vertebral fusion, non-infectious, syndromic form	Pat
PatAls	2015	Mathieu-De Broca-Bony syndrome	Syn
PatAls	2015	Cleft palate - short stature - vertebral anomalies	Pat
PatAls	2427	Volcke-Soekarman syndrome	Syn
PatAls	2427	Macrocephaly - short stature - paraplegia	Pat
PatAls	2058	Fryns-Smeets-Thiry syndrome	Pat
PatAls	1192	Feigenbaum-Bergeron-Richardson syndrome	Syn
PatAls	1192	Atherosclerosis- deafness - diabetes - epilepsy - nephropathy	Pat
PatAls	2538	Microgastria - limb reduction defect	Pat
PatAls	936	Succinic acidemia	Pat
PatAls	3207	White matter hypoplasia - corpus callosum agenesis - intellectual deficit	Pat
PatAls	3207	Caratolo-Cilio-Pessagno syndrome	Syn
PatAls	2244	Kaplowitz-Bodurtha syndrome	Syn
PatAls	2244	Hypopituitarism - microphthalmia	Pat
PatAls	1130	de Die Smulders-Vles-Fryns syndrome	Syn
PatAls	1130	Arachnodactyly - intellectual deficit - dysmorphism	Pat
PatAls	2626	Blethen-Wenick-Hawkins syndrome	Syn
PatAls	2626	Hypopituitarism - short stature - skeletal anomalies	Pat
PatAls	3095	Atypical RTT	Syn
PatAls	3095	Rett syndrome variant	Syn
PatAls	3095	Atypical Rett syndrome	Pat
PatAls	2756	OFD10	Syn
PatAls	2756	Figuera syndrome	Syn
PatAls	2756	Orofaciodigital syndrome, type 10	Syn
PatAls	2756	Oral-facial-digital syndrome, type 10	Pat
PatAls	2756	Orofaciodigital syndrome with fibular aplasia	Syn
PatAls	378	Sjögren's syndrome	Pat
PatAls	2326	Kallmann syndrome - heart disease	Pat
PatAls	1541	Craniosynostosis, Boston type	Pat
PatAls	1541	Craniosynostosis, Warman type	Syn
PatAls	1541	Warman-Mulliken-Hayward syndrome	Syn
PatAls	2619	Mseleni joint disease (MJD)	Syn
PatAls	2619	Brachydactylous dwarfism, Mseleni type	Pat
PatAls	2963	Progeroid syndrome, Petty type	Pat
PatAls	2963	Petty-Laxova-Wiedemann syndrome	Syn
PatAls	1768	Rudd-Klimek syndrome	Syn
PatAls	1768	Familial caudal dysgenesis	Pat
PatAls	2204	Kozlowski-Tsuruta syndrome	Syn
PatAls	2204	Dysplastic cortical hyperostosis	Pat
PatAls	1664	Embryonary disorganization syndrome	Pat
PatAls	2096	Richieri Costa-Guion Almeida-Cohen syndrome	Syn
PatAls	2096	Overgrowth - craniosynostosis - arthrogryposis	Pat
PatAls	1134	Arrhinia	Pat
PatAls	1134	Nose agenesis	Syn
PatAls	1485	Johnston-Aarons-Schelley syndrome	Syn
PatAls	1485	Arthrogryposis - hyperkeratosis, lethal form	Pat
PatAls	3051	Nicolaides-Baraitser syndrome	Syn
PatAls	3051	Intellectual deficit - sparse hair - brachydactyly	Pat
PatAls	3331	Chitty-Hall-Webb syndrome	Syn
PatAls	3331	Tibiae bowed - radial anomalies - osteopennia fractures	Pat
PatAls	1272	Fine-Lubinsky syndrome	Pat
PatAls	1272	Brachycephaly - deafness - cataract - intellectual deficit	Syn
PatAls	1779	Dysmorphism - cleft palate - loose skin	Pat
PatAls	2184	Palmer-Pagon syndrome	Syn
PatAls	2184	Hydrocephaly - low insertion umbilicus	Pat
PatAls	1101	Cassia Stocco dos Santos syndrome	Syn
PatAls	1101	Anophthalmia - megalocornea - cardiopathy - skeletal anomalies	Pat
PatAls	1894	Kasznica-Carlson-Coppedge syndrome	Syn
PatAls	1894	Ectrodactyly - spina bifida - cardiopathy	Pat
PatAls	1119	Delayed-onset bone marrow failure - congenital neurologic abnormalities	Pat
PatAls	1119	Drachtman-Weinblatt-Sitarz syndrome	Syn
PatAls	1530	Craniosynostosis - cataract	Pat
PatAls	3271	Buntinx-Lormans-Martin syndrome	Syn
PatAls	3271	Radio-ulnar synostosis - retinal pigment abnormalities	Pat
PatAls	1114	Aplasia cutis congenita verticis (ACCV)	Syn
PatAls	1114	Circumscribed cutaneous aplasia of the vertex	Pat
PatAls	3439	DK phocomelia syndrome	Syn
PatAls	3439	Von Voss-Cherstvoy syndrome	Pat
PatAls	3439	Phocomelia - thrombocytopenia - encephalocele - urogenital malformations	Syn
PatAls	1217	Hamano-Tsukamoto syndrome	Syn
PatAls	1217	Spinal atrophy - ophthalmoplegia - pyramidal syndrome	Pat
PatAls	1681	Diprosopia	Pat
PatAls	2680	Boylan-Dew syndrome	Syn
PatAls	2680	Hypomyelination neuropathy - arthrogryposis	Pat
PatAls	944	Methylmalonic aciduria - microcephaly - cataract	Pat
PatAls	1835	Kozlowski-Massen syndrome	Syn
PatAls	1835	Mesomelic dysplasia - skin dimples	Pat
PatAls	1655	Mullerian derivatives - lymphangiectasia - polydactyly	Pat
PatAls	1534	Imaizumi-Kuroki syndrome	Syn
PatAls	1534	Craniosynostosis-radial aplasia, Imaizumi type	Pat
PatAls	2831	Rhizomelic dysplasia type patterson lowry	Syn
PatAls	2831	Rhizomelic dysplasia, Patterson-Lowry type	Pat
PatAls	1129	Kosztolanyi syndrome	Syn
PatAls	1129	Arachnodactyly - ossification abnormal - intellectual deficit	Pat
PatAls	1383	Schaap-Taylor-Baraitser syndrome	Syn
PatAls	1383	Cataract - deafness - hypogonadism	Pat
PatAls	1849	Infundibulopelvic stenosis - multicystic kidney	Pat
PatAls	1524	Craniomicromelic syndrome	Pat
PatAls	1123	Lynch-Lee-Murday syndrome	Syn
PatAls	1123	Caudal appendage - deafness	Pat
PatAls	3263	Syngnathia - cleft palate	Pat
PatAls	3206	Stuve-Wiedemann syndrome	Pat
PatAls	3206	Stuve-Wiedemann dysplasia	Syn
PatAls	1844	Bone dysplasia, Azouz type	Pat
PatAls	2729	Okamoto syndrome	Pat
PatAls	65	Leber amaurosis, congenital	Pat
PatAls	65	Amaurosis congenita of Leber	Syn
PatAls	110	Bardet-Biedl syndrome	Pat
PatAls	144	HNPCC	Syn
PatAls	144	Lynch syndrome	Syn
PatAls	144	Colon cancer, familial nonpolyposis	Pat
PatAls	144	Nonpolyposis colorectal cancer, familial	Syn
PatAls	153	Cardiomyopathy, dilated, with conduction defect	Pat
PatAls	321	Exostoses, multiple	Pat
PatAls	321	Bessel-Hagen disease	Syn
PatAls	321	Osteochondromas, multiple	Syn
PatAls	478	Kallmann syndrome	Pat
PatAls	478	Congenital hypogonadotropic hypogonadism with anosmia	Syn
PatAls	633	Laron syndrome	Pat
PatAls	633	Laron-type dwarfism	Syn
PatAls	633	Primary GH resistance	Syn
PatAls	633	GH receptor deficiency	Syn
PatAls	633	Primary GH insensitivity	Syn
PatAls	633	Primary growth hormone resistance	Syn
PatAls	633	Growth hormone receptor deficiency	Syn
PatAls	633	Primary growth hormone insensitivity	Syn
PatAls	633	Complete growth hormone insensitivity	Syn
PatAls	633	Short stature due to growth hormone resistance	Syn
PatAls	669	Taybi syndrome	Syn
PatAls	669	Otopalatodigital syndrome	Pat
PatAls	822	Spherocytosis hereditary	Pat
PatAls	822	Minkowski-Chauffard disease	Syn
PatAls	910	XP	Syn
PatAls	910	Xeroderma pigmentosum	Pat
PatAls	777	X-linked nonsyndromic intellectual deficit	Pat
PatAls	777	Intellectual deficit, X-linked, nonspecific	Syn
PatAls	766	Pyruvate kinase deficiency of erythrocytes	Syn
PatAls	766	Hemolytic anemia due to red cell pyruvate kinase deficiency	Pat
PatAls	229	Erdheim disease	Syn
PatAls	229	Annuloaortic ectasia	Syn
PatAls	229	Familial aortic dissection	Pat
PatAls	229	Cystic medial necrosis of aorta	Syn
PatAls	279	Macular degeneration, age-related	Pat
PatAls	28	Adenosylcobalamin deficiency	Syn
PatAls	28	Methylmalonic acidemia, vitamin B12 responsive	Pat
PatAls	28	Methylmalonic aciduria, vitamin B12 responsive	Syn
PatAls	411	Hyperlipoproteinemia type 1	Pat
PatAls	411	Hyperlipoproteinemia type I	Syn
PatAls	411	Hyperchylomicronemia, familial	Syn
PatAls	411	Lipoproteine lipase deficiency	Syn
PatAls	411	Apolipoproteine C-II deficiency	Syn
PatAls	412	Hyperlipidemia type 3	Pat
PatAls	412	Broad-betalipoproteinemia	Syn
PatAls	412	Hyperlipoproteinemia type 3	Syn
PatAls	424	Familial non-immune hyperthyroidism	Syn
PatAls	424	Resistance to thyroid stimulating hormone	Syn
PatAls	424	Hyperthyroidism, familial, due to mutations in TSH receptor	Pat
PatAls	743	Hereditary thrombophilia due to congenital protein S deficiency	Pat
PatAls	1002	Cluster headache	Pat
PatAls	2089	GSD type 0	Syn
PatAls	2089	Type 0 glycogenosis	Syn
PatAls	2089	Glycogen storage disease, type 0	Pat
PatAls	2089	Glycogen synthetase in the liver deficiency	Syn
PatAls	1930	HSV encephalitis	Syn
PatAls	1930	Herpetic encephalitis	Pat
PatAls	1930	Herpes simplex encephalitis	Syn
PatAls	1930	Herpes simplex neuroinvasion	Syn
PatAls	343	Hyper-IgD syndrome	Syn
PatAls	343	Hyperimmunoglobinemia D with recurrent fever	Pat
PatAls	343	Hyperimmunoglobulinemia D with periodic fever	Syn
PatAls	325	Dysprothrombinemia	Syn
PatAls	325	Hypoprothrombinemia	Syn
PatAls	325	Prothrombin deficiency	Syn
PatAls	325	Congenital factor II deficiency	Pat
PatAls	3324	Thrombomodulin anomalies, familial	Pat
PatAls	572	Bare lymphocyte syndrome type II	Syn
PatAls	572	Severe combined immunodeficiency, HLA class 2-negative	Syn
PatAls	572	Immunodeficiency by defective expression of HLA class 2	Pat
PatAls	911	Zeta-associated-protein 70 deficiency	Syn
PatAls	911	Combined immunodeficiency due to ZAP70 deficiency	Pat
PatAls	843	Antigen-peptide-transporter deficiency	Syn
PatAls	843	Bronchopneumopathy, chronic, due to TAP deficiency	Pat
PatAls	3325	HIT	Syn
PatAls	3325	Heparin-induced thrombocytopenia	Pat
PatAls	621	Hereditary methemoglobinemia	Pat
PatAls	746	Mitochondrial trifunctional protein deficiency	Pat
PatAls	943	Malonic aciduria	Pat
PatAls	943	Malonyl-CoA decarboxylase deficiency	Syn
PatAls	20	Hydroxymethylglutaricaciduria	Syn
PatAls	20	3-hydroxy-3-methylglutaric aciduria	Pat
PatAls	20	3-hydroxy-3-methylglutaryl-CoA lyase deficiency	Syn
PatAls	6	3-methylcrotonylglycinuria	Pat
PatAls	6	3-methylcrotonyl-CoA carboxylase deficiency	Syn
PatAls	832	SCOT deficiency	Syn
PatAls	832	Succinyl-CoA acetoacetate transferase deficiency	Pat
PatAls	440	Hypospadias, familial	Pat
PatAls	712	Hemolytic anemia due to glucophosphate isomerase deficiency	Pat
PatAls	714	Diphosphoglycerate mutase deficiency of erythrocyte	Pat
PatAls	2056	Fructosuria	Pat
PatAls	2056	Fructokinase deficiency	Syn
PatAls	2056	Ketohexokinase deficiency	Syn
PatAls	158	Carnitine uptake deficiency	Pat
PatAls	158	Carnitine brain transporter deficiency	Syn
PatAls	1945	Centrotemporal epilepsy	Syn
PatAls	1945	BECRS, autosomal dominant	Syn
PatAls	1945	Benign familial epilepsy of childhood with rolandic spikes	Pat
PatAls	820	Sneddon syndrome	Pat
PatAls	335	Congenital fibrinogen deficiency	Pat
PatAls	1070	Anisakiasis	Pat
PatAls	1467	Cogan syndrome	Pat
PatAls	79	Congenital alpha2 antiplasmin deficiency	Pat
PatAls	331	Congenital factor XIII deficiency	Pat
PatAls	331	Fibrin-stabilizing factor deficency	Syn
PatAls	282	Frontotemporal dementia	Pat
PatAls	542	Cutaneous lymphoma	Pat
PatAls	707	Plague	Pat
PatAls	707	Yersiniosis	Syn
PatAls	159	Carnitine-acylcarnitine translocase deficiency	Pat
PatAls	1481	C2 deficiency	Syn
PatAls	1481	Complement component 2 deficiency	Pat
PatAls	414	Hyperornithinemia	Pat
PatAls	414	Gyrate atrophy of choroid and retina	Syn
PatAls	414	Ornithine aminotransferase deficiency	Syn
PatAls	414	Hyperornithinemia - gyrate atrophy of choroid and retina (HOGA)	Syn
PatAls	2170	Methylcobalamin deficiency, cbl G type	Pat
PatAls	2170	Homocystinuria due to methionine synthase deficiency, Cbl G type	Syn
PatAls	2203	Hyperlysinemia	Pat
PatAls	2203	Lysine alpha-ketoglutarate reductase deficiency	Syn
PatAls	3124	Saccharopinuria	Pat
PatAls	3124	Saccharopine dehydrogenase deficiency	Syn
PatAls	2157	Histidinemia	Pat
PatAls	2157	Histidase deficiency	Syn
PatAls	2195	Dicarboxylicaminoaciduria	Pat
PatAls	2195	Glutamate-aspartate transport defect	Syn
PatAls	2168	Homocarnosinosis	Pat
PatAls	2168	Homocarnosinase deficiency	Syn
PatAls	2967	Protein R deficiency	Pat
PatAls	332	Intrinsic factor, congenital deficiency of	Pat
PatAls	941	D-glycericacidemia	Pat
PatAls	941	D-glycerate kinase deficiency	Syn
PatAls	19	2-hydroxyglutaricaciduria	Pat
PatAls	2843	Pentosuria	Pat
PatAls	2843	Pentosuria, essential	Syn
PatAls	2843	Xylitol dehydrogenase deficiency	Syn
PatAls	2857	Magnesium wasting, renal	Pat
PatAls	212	Cystathioninuria	Pat
PatAls	212	Gamma-cystathionase deficiency	Syn
PatAls	470	LPI	Syn
PatAls	470	Lysinuric protein intolerance	Pat
PatAls	470	Hyperdibasic aminoaciduria, type 2	Syn
PatAls	1032	Aminoaciduria, hyperdibasic, type 1	Pat
PatAls	622	Methionine synthase deficiency	Syn
PatAls	622	N5-methylhomocysteine transferase deficiency	Pat
PatAls	622	5-methyltetrahydrofolate-homocysteine s-methyltransférase	Syn
PatAls	927	NAGS deficiency	Syn
PatAls	927	Hyperammonemia due to N-acetylglutamate synthetase deficiency	Pat
PatAls	3402	Tyrosine oxidase temporary deficiency	Pat
PatAls	34	Pipecolic acidemia	Pat
PatAls	34	Hyperpipecolatemia	Syn
PatAls	2880	PEPCK deficiency	Syn
PatAls	2880	Phosphoenolpyruvate carboxykinase (PEPCK) deficiency	Pat
PatAls	24	Fumaric aciduria	Pat
PatAls	24	Fumarase deficiency	Syn
PatAls	3208	Succinate CoQ reductase deficiency	Pat
PatAls	3208	Complex 2, mitochondrial respiratory chain, deficiency of	Syn
PatAls	1460	Coenzyme Q cytochrome c reductase deficiency	Pat
PatAls	1460	Complex 3, mitochondrial respiratory chain, deficiency of	Syn
PatAls	1561	Fatal infantile COX deficiency	Syn
PatAls	1561	Fatal infantile cytochrome C oxidase deficiency	Pat
PatAls	1561	Cardioencephalomyopathy fatal infantile due to cytochrome c oxidase deficiency	Syn
PatAls	1044	Adenosine triphosphatase deficiency, anemia due to	Pat
PatAls	851	Paris-Trousseau thrombocytopenia	Pat
PatAls	849	Glanzmann thrombasthenia	Pat
PatAls	745	Hereditary thrombophilia due to congenital protein C deficiency	Pat
PatAls	145	Hereditary breast and ovarian cancer syndrome	Pat
PatAls	538	Lymphangioleiomyomatosis	Pat
PatAls	2965	Prolactinoma	Pat
PatAls	2965	Lactotroph adenoma	Syn
PatAls	2965	Pituitary lactotrophic adenoma	Syn
PatAls	2942	Post-poliomyelitic syndrome	Pat
PatAls	1578	Dehydratase deficiency	Pat
PatAls	1578	Hyperphenylalaninemia due to dehydratase deficiency	Syn
PatAls	1578	Hyperphenilalaninemia due to pterin-4-alpha-carbinolamine dehydratase deficiency	Syn
PatAls	556	Malakoplasia	Pat
PatAls	556	Malakoplakia	Syn
PatAls	2778	CRMO, juvenile	Syn
PatAls	2778	Chronic recurrent multifocal osteomyelitis, juvenile	Pat
PatAls	2700	Noma	Pat
PatAls	2700	Cancrum oris	Syn
PatAls	1451	CINCA syndrome	Pat
PatAls	1451	IOMID syndrome	Syn
PatAls	1451	NOMID syndrome	Syn
PatAls	1451	Prieur-Griscelli syndrome	Syn
PatAls	1451	Neonatal Onset Multisystem Inflammatory Disease	Syn
PatAls	1451	Infantile Onset Multisystem Inflammatory Disease	Syn
PatAls	1451	Chronic, infantile, neurological, cutaneous, articular syndrome	Syn
PatAls	2330	Kasabach-Merritt syndrome	Pat
PatAls	2330	Hemangioma-thrombocytopenia syndrome	Syn
PatAls	2584	Classical mycosis fungoides	Pat
PatAls	2584	Mycosis fungoides, Alibert-Bazin type	Syn
PatAls	3162	Sezary's syndrome	Pat
PatAls	3162	Sezary's lymphoma	Syn
PatAls	292	Enterovirus antenatal infection	Syn
PatAls	292	Enterovirus infection, congenital	Pat
PatAls	767	Polyarteritis nodosa	Pat
PatAls	767	Periarteritis nodosa	Syn
PatAls	767	Küssmaul-Maier disease	Syn
PatAls	179	Chorioretinopathy, Birdshot type	Pat
PatAls	1171	CAPOS syndrome	Syn
PatAls	1171	Cerebellar ataxia - areflexia - pes cavus - optic atrophy - sensorineural hearing loss	Pat
PatAls	2552	Microsporidiosis	Pat
PatAls	340	Hantavirosis	Syn
PatAls	340	Hantavirus fever	Syn
PatAls	340	Hemorrhagic fever - renal syndrome	Pat
PatAls	341	Ebola virus disease	Syn
PatAls	341	Viral hemorrhagic fever	Pat
PatAls	344	Arbovirosis	Syn
PatAls	344	Arbovirus fever	Pat
PatAls	566	Miosis, congenital	Syn
PatAls	566	Microcoria, congenital	Pat
PatAls	1560	Cysticercosis	Pat
PatAls	3385	Sleeping seekness	Syn
PatAls	3385	African trypanosomiasis	Pat
PatAls	2566	Susceptibility to chronic infection by Epstein-Barr virus	Pat
PatAls	2086	Optic pathway glioma	Pat
PatAls	1648	Lewy body dementia	Pat
PatAls	1648	Dysphasic dementia, hereditary	Syn
PatAls	3260	Idiopathic hypereosinophilic syndrome	Pat
PatAls	2745	G syndrome	Syn
PatAls	2745	Opitz BBB/G syndrome	Pat
PatAls	2745	Opitz-Frias syndrome	Syn
PatAls	2745	BBB syndrome, X-linked	Syn
PatAls	2745	Hypospadias - dyspaghia	Syn
PatAls	2745	Opitz syndrome , X-linked	Syn
PatAls	2745	Hypospadias - hypertelorism	Syn
PatAls	2745	Opitz G/BBB syndrome, X-linked	Syn
PatAls	982	Pulmonary valve agenesis (PVA)	Syn
PatAls	982	Pulmonary valve, absence of, congenital	Pat
PatAls	980	Pulmonary artery, absence of	Pat
PatAls	1054	Aneurysm of sinus of Valsalva	Pat
PatAls	1081	Coronary artery congenital malformation	Pat
PatAls	1132	Aortic arch defects	Pat
PatAls	1138	Pulmonary artery, abnormal origin of	Pat
PatAls	1207	Pulmonary atresia with ventricular septal defect	Pat
PatAls	1456	Middle aortic syndrome	Syn
PatAls	1456	Atypical coarctation of aorta	Pat
PatAls	1456	Mid-aortic dysplastic syndrome	Syn
PatAls	1456	Coarctation of the abdominal aorta	Syn
PatAls	1457	Aorta coarctation	Pat
PatAls	1463	Triatrial heart	Pat
PatAls	1463	Cor triatriatum	Syn
PatAls	1686	Cardiac diverticulum	Pat
PatAls	1689	Double discordance	Pat
PatAls	1864	Tricuspid dysplasia	Syn
PatAls	1864	Mitral valve dysplasia	Syn
PatAls	1864	Valvular dysplasia, congenital	Pat
PatAls	2037	Aorta-pulmonary artery fistula	Pat
PatAls	2038	Pulmonar arterioveinous aneurysm	Syn
PatAls	2038	Pulmonary arterio-veinous fistula	Pat
PatAls	2039	Systemic arterio-veinous fistula	Pat
PatAls	2041	Coronaro-cardiac fistula	Syn
PatAls	2041	Coronary arterial fistulas	Pat
PatAls	2041	Coronary arterial malformations	Syn
PatAls	422	Idiopathic and/or familial pulmonary arterial hypertension	Pat
PatAls	439	Right ventricular hypoplasia	Pat
PatAls	2447	Congenital mitral malformation	Pat
PatAls	2299	Aortic arch interruption	Pat
PatAls	3426	DORV	Syn
PatAls	3426	Double outlet right ventricle	Pat
PatAls	3427	Double outlet left ventricle	Pat
PatAls	3091	Systemic venous return, abnormal, congenital	Pat
PatAls	3092	Fixed subaortic stenosis	Pat
PatAls	3093	Aortic valve stenosis, congenital	Pat
PatAls	3161	Pulmonary sequestration	Pat
PatAls	3188	Pulmonary veins stenosis, congenital	Pat
PatAls	3189	Pulmonary valve stenosis, congenital	Pat
PatAls	3190	Subpulmonary stenosis	Pat
PatAls	185	Scimitar syndrome	Pat
PatAls	860	Isolated ventriculoarterial discordance	Syn
PatAls	860	Congenitally uncorrected transposition of the great vessels	Syn
PatAls	860	Congenitally uncorrected transposition of the great arteries	Pat
PatAls	860	Ventriculoarterial discordance with atrioventricular concordance	Syn
PatAls	3400	Aorto-ventricular tunnel	Pat
PatAls	1464	Univentricular heart	Pat
PatAls	3261	FAS deficiency	Syn
PatAls	3261	Canale-Smith syndrome	Syn
PatAls	3261	Autoimmune lymphoproliferative syndrome	Pat
PatAls	1572	CVID	Syn
PatAls	1572	Common variable immunodeficiency	Pat
PatAls	2849	Perlman syndrome	Pat
PatAls	2849	Nephroblastomatosis - fetal ascites - macrosomia - wilms tumor	Syn
PatAls	2953	Adducted thumbs-arthrogryposis, Dundar type	Pat
PatAls	747	Pulmonary alveolar proteinosis	Pat
PatAls	3082	Kozlowski-Krajewska syndrome	Syn
PatAls	3082	Intellectual deficit - polydactyly - uncombable hair	Pat
PatAls	782	Rieger syndrome	Pat
PatAls	782	Axenfeld-Rieger syndrome	Syn
PatAls	3259	Syndactyly-polydactyly-ear lobe syndrome	Pat
PatAls	3269	Radio-ulnar synostosis	Pat
PatAls	3309	Tetrasomy 5p	Pat
PatAls	3379	Trisomy 17qter	Syn
PatAls	3379	Distal trisomy 17q	Pat
PatAls	3379	Distal duplication 17q	Syn
PatAls	3379	Telomeric duplication 17q	Syn
PatAls	882	Tyrosinemia type 1	Pat
PatAls	882	Hepatorenal tyrosinemia	Syn
PatAls	882	Fumarylacetoacetase deficiency	Syn
PatAls	3411	Double uterus - hemivagina - renal agenesis	Pat
PatAls	903	Willebrand disease	Syn
PatAls	903	Von Willebrand disease	Pat
PatAls	903	Hereditary Willebrand disease	Syn
PatAls	3474	Zunich-Kaye syndrome	Pat
PatAls	3474	Neuroectodermal dysplasia, CHIME type	Syn
PatAls	3474	Neuroectodermal syndrome, Zunich type	Syn
PatAls	1260	Sino-auricular heart block	Pat
PatAls	1441	Ring chromosome 17	Pat
PatAls	361	ACTH resistance	Syn
PatAls	361	Glucocorticoid deficiency, familial	Pat
PatAls	1787	Acrofacial dysostosis, palagonia type	Pat
PatAls	1863	Trochlear dysplasia	Pat
PatAls	2088	GSD type XI	Syn
PatAls	2088	GLUT2 deficiency	Syn
PatAls	2088	Fanconi-Bickel disease	Syn
PatAls	2088	Bickel-Fanconi glycogenosis	Pat
PatAls	2088	Glycogen storage disease, type XI	Syn
PatAls	3240	Yoshimura-Takeshita syndrome	Syn
PatAls	3240	Deafness-tubular acidosis-anemia	Pat
PatAls	3283	His bundle tachycardia	Pat
PatAls	3286	CPVT	Syn
PatAls	3286	Syncopal tachyarythmia	Syn
PatAls	3286	Bidirectional tachycardia	Syn
PatAls	3286	Syncopal paroxysmal tachycardia	Syn
PatAls	3286	Paroxysmal ventricular fibrillation	Syn
PatAls	3286	Multifocal ventricular premature beats	Syn
PatAls	3286	Double tachycardia induced by catecholamines	Syn
PatAls	3286	Malignant paroxysmal ventricular tachycardia	Syn
PatAls	3286	Catecholinergic polymorphic ventricular tachycardia	Pat
PatAls	599	Distal myopathy	Pat
PatAls	416	Oxalosis	Syn
PatAls	416	Hyperoxaluria	Pat
PatAls	2023	Malignant fibrous histiocytoma	Pat
PatAls	67	Amoebiasis due to Entamoeba histolytica	Pat
PatAls	1546	Cryptococcosis	Pat
PatAls	1685	Distomatosis	Pat
PatAls	1902	Ehrlichiosis	Pat
PatAls	2034	Filariasis	Pat
PatAls	2583	Mycetoma	Pat
PatAls	2583	Madura foot	Syn
PatAls	2737	Onchocerciasis	Pat
