Orphanum	Name	ICD10 Reference
1136	Arnold-Chiari malformation	Q07.0
397	Giant cell arteritis	M31.6
2932	Chronic inflammatory demyelinating polyneuropathy	G61.8
2398	Familial symmetric lipomatosis	E88.8
1656	Dermatitis herpetiformis	L13.0
3006	Pyridoxin-dependent epilepsy	E53.1
3111	Rotor syndrome	E80.6
780	Rhabdomyosarcoma	C49.9
2806	Subacute sclerosing leukoencephalitis	A81.1
2382	Lennox-Gastaut syndrome	G40.4
120	Biermer disease	D51.0
2467	Systemic mastocytosis	C96.2
845	Tay-Sachs disease	E75.0
1934	Early infantile epileptic encephalopathy	G40.3
1935	Early myoclonic encephalopathy	G40.3
1942	Epilepsy with myoclonic-astatic seizures	G40.4
1943	Infant epilepsy with migrant focal crisis	G40.3
3451	West syndrome	G40.4
1446	Ring chromosome 22	F79
1446	Ring chromosome 22	Q93.2
847	Alpha thalassemia - intellectual deficit, X-linked	D56.0
157	Carnitine palmitoyl transferase II deficiency	E71.3
1331	Familial prostate cancer	C61
146	Papillary or follicular thyroid carcinoma	C73
653	Multiple endocrine neoplasia type 2	D44.8
151	Familial renal cell carcinoma	C64
574	Monosomy 21	Q93.8
373	Simpson-Golabi-Behmel syndrome	Q87.8
403	Familial hyperaldosteronism type 1	E26.0
3315	Thiopurine s-methyltranferase deficiency	E79.8
327	Congenital factor VII deficiency	D68.2
754	Androgen insensitivity syndrome	E34.5
253	Spondyloepiphyseal dysplasia	Q77.7
342	Familial mediterranean fever	E85.0
180	Choroideremia	H31.2
215	Congenital stationary night blindness	H53.6
650	LCAT deficiency	E78.6
427	Familial hypoaldosteronism	E27.4
326	Congenital factor V deficiency	D68.2
526	Liddle syndrome	I15.1
638	Neurofibromatosis - Noonan syndrome	Q85.0
627	Nance-Horan syndrome	K00.1
627	Nance-Horan syndrome	K00.2
627	Nance-Horan syndrome	Q12.0
2828	Genetic Parkinson disease	G20
140	Campomelic dysplasia	Q87.1
642	Hereditary sensory and autonomic neuropathy type 4	G60.8
643	Giant axonal neuropathy	G60.8
676	Hereditary chronic pancreatitis	K86.1
634	Netherton disease	L67.0
634	Netherton disease	Q80.8
3027	Caudal regression sequence	Q76.0
844	Atrial tachyarrhythmia with short PR interval	I45.6
808	Seckel syndrome	Q87.1
897	Waardenburg-Shah syndrome	Q87.8
902	Werner syndrome	E34.8
907	Wolff-Parkinson-White syndrome	I45.6
670	PIBIDS syndrome	E72.1
670	PIBIDS syndrome	Q80.8
871	Familial progressive cardiac conduction defect	Q20.9
453	IBIDS syndrome	E72.1
453	IBIDS syndrome	Q80.8
888	Van Der Woude syndrome	Q38.0
709	Peters-plus syndrome	Q13
709	Peters-plus syndrome	Q73.8
2986	Bipolar disorders	F31
3103	Roberts syndrome/SC phocomelia	Q73.8
776	X-linked intellectual deficit - marfanoid habitus	F79
1344	Atrial cardiomyopathy with heart block	I42.0
1344	Atrial cardiomyopathy with heart block	I44.0
1473	Coloboma uveal - cleft lip palate - intellectual deficit	Q12.2
194	Ocular coloboma	Q15.8
1949	Benign familial neonatal seizures	G40.3
189	Clouston syndrome	Q82.8
275	Severe combined immunodeficiency, alymphocytotic type	D81.1
184	Cherubism	K10.8
71	Chylomicron retention disease	E78.6
1047	Sideroblastic anemia	D64.3
48	Congenital bilateral absence of vas deferens	Q55.4
136	CADASIL syndrome	F01.1
136	CADASIL syndrome	I67.3
528	Berardinelli-Seip congenital lipodystrophy	E88.1
113	Bazex-Dupre-Christol syndrome	L98.8
86	Familial abdominal aortic aneurysm	I71.4
243	Gonadal dysgenesis, XX type	Q99.1
2268	ICF syndrome	D84.8
475	Joubert syndrome	Q04.3
392	Holt-Oram syndrome	Q87.2
657	Persistent hyperinsulinemic hypoglycemia of infancy	E16.1
2445	Conotruncal heart malformations	Q20.0
2495	Meningioma	D32.9
569	Familial or sporadic hemiplegic migraine	G43.1
500	LEOPARD syndrome	Q87.8
507	Leishmaniasis	B55
548	Leprosy	A30
233	Duane syndrome	H50.8
2311	Autosomal recessive spondylocostal dysostosis	Q76.8
240	Léri-Weill dyschondrosteosis	Q77.8
242	Complete gonadal dysgenesis, 46,XY type	Q97.3
358	Gitelman syndrome	E83.4
2052	Fraser syndrome	Q87.0
2014	Cleft palate	Q35
323	FG syndrome	Q87.8
1644	Distal monosomy Xq	Q96.2
10	48,XXYY syndrome	Q98.8
557	Isolated anorectal malformation	Q42.2
557	Isolated anorectal malformation	Q42.3
111	Barth syndrome	E71.1
133	Chronic berylliosis	J63.2
1308	C syndrome	Q87.8
150	Nasopharyngeal cancer	C11
1354	Heart defects - limb shortening	Q87.2
164	Cerebral cavernous malformations	Q28.3
172	Progressive familial intrahepatic cholestasis	K83.1
1437	Ring chromosome 1	Q99.8
1438	Ring chromosome 10	Q99.8
1439	Ring chromosome 12	Q99.8
1444	Ring chromosome 20	Q99.8
1447	Ring chromosome 4	Q99.8
1448	Ring chromosome 6	Q99.8
1450	Ring chromosome 8	Q99.8
1552	Currarino triad	Q42
1579	Non-distal monosomy 10p	Q93.8
1580	Distal monosomy 10p	Q93.8
1587	Monosomy 13q14	Q93.5
1601	Non-distal monosomy 1p	Q93.8
1611	Deletion 20p	Q93.8
1615	Non-distal monosomy 2q	Q93.8
1618	Non-distal monosomy 3p	Q93.8
1625	Deletion 4q	Q93.8
1627	Distal monosomy 5q	Q93.8
1629	Non-distal monosomy 6q	Q93.8
163596	Hydrops fetalis of Bart	D56.0
163631	Bile acid synthesis defect with cholestasis and malabsorption	K76.8
1639	Non-distal monosomy 8q	Q93.8
1643	Microdeletion Xp22.3	Q93.8
163684	Leukoencephalopathy - dystonia - motor neuropathy	E75.2
1693	Non-distal trisomy 10p	Q92.8
1695	Non-distal trisomy 10q	Q92.8
1699	Non-distal trisomy 12p	Q92.8
1700	Non-distal trisomy 12q	Q92.8
163746	Neurologic Waardenburg-Shah syndrome	E75.2
163895	Paraneoplastic limbic encephalitis	G13.1
1709	Non-distal trisomy 16p	Q92.8
163898	Classic paraneoplastic limbic encephalitis	G13.1
1710	Non-distal trisomy 16q	Q92.8
163903	Limbic encephalitis associated with antibodies to cell membrane antigens	G13.1
163908	Limbic encephalitis with VGKC antibodies	G13.1
163914	Limbic encephalitis, with nCMAgs antibodies	G13.1
1725	Non-distal trisomy 20p	Q92.8
1731	Non-distal trisomy 2q	Q92.8
1734	Non-distal trisomy 3p	Q92.8
1736	Non-distal trisomy 3q	Q92.8
1738	Trisomy 4p	Q92.8
1739	Duplication 4q	Q92.8
1742	Trisomy 5p	Q92.8
1744	Non-distal trisomy 5q	Q92.8
1745	Distal trisomy 6p	Q92.8
1746	Non-distal trisomy 6q	Q92.8
1748	Non-distal trisomy 7p	Q92.8
1751	Non-distal trisomy 8p	Q92.8
1752	Non-distal trisomy 8q	Q92.8
1876	Oculogastrointestinal muscular dystrophy	G71.0
1877	Muscular dystrophy - white matter spongiosis	G71.2
1878	Autosomal recessive limb-girdle muscular dystrophy type 2H	G71.0
1946	Amelo-cerebro-hypohidrotic syndrome	G40.8
1951	Epilepsy telangiectasia	G40.8
1981	Fanconi ichthyosis dysmorphism	N25.8
381	Griscelli disease	L81.6
165985	Diazoxide-sensitive diffuse hyperinsulinism	E16.1
2604	Familial visceral myopathy	G71.2
2604	Familial visceral myopathy	K56.0
165988	Diazoxide-resistant diffuse hyperinsulinism	E16.1
165991	Exercise-induced hyperinsulinism	E16.1
165994	Selective pituitary resistance to thyroid hormone	E05.8
2597	Mitochondrial myopathy - lactic acidosis	G71.3
2598	Mitochondrial myopathy and sideroblastic anemia	G71.3
156	Carnitine palmitoyl transferase 1 deficiency	E71.3
2601	Myopathy - growth delay - intellectual deficit - hypospadias	Q87.1
2615	Nakajo-Nishimura syndrome	M62.5
166063	Pontocerebellar hypoplasia type 4	Q04.3
680	Normokalemic periodic paralysis	G72.3
166068	Pontocerebellar hypoplasia type 5	Q04.3
3000	Testotoxicosis	E30.1
166073	Pontocerebellar hypoplasia type 6	Q04.3
3176	Spina bifida - hypospadias	Q87.8
166078	Von Willebrand disease type 1	D68.0
3305	Tetraploidy	Q92.7
166081	Von Willebrand disease type 2	D68.0
3306	Duplication/inversion 15q11	Q99.8
166084	Von Willebrand disease type 2A	D68.0
166087	Von Willebrand disease type 2B	D68.0
3310	Tetrasomy 9p	Q99.8
166090	Von Willebrand disease type 2M	D68.0
3375	Trisomy X	Q97.0
166093	Von Willebrand disease type 2N	D68.0
3376	Triploidy	Q92.7
166096	Von Willebrand disease type 3	D68.0
1708	Mosaic trisomy 16	Q92.8
1714	Trisomy 18 mosaic	Q91.1
1445	Ring chromosome 21	Q99.8
7	3C syndrome	Q87.0
916	Aase-Smith syndrome	Q87.8
918	ABCD syndrome	L81.8
166295	Benign non-familial infantile seizures	G40.3
920	Ablepharon macrostomia syndrome	Q87.0
166299	Benign partial epilepsy of infancy with complex partial seizures	G40.3
921	Abruzzo-Erickson syndrome	Q87.1
166302	Benign partial epilepsy with secondarily generalized seizures in infancy	G40.3
922	Familial nasal acilia	Q30.8
166305	Benign infantile seizures associated to mild gastroenteritis	G40.3
2297	Insulin-resistance syndrome type A	E11
166308	Benign infantile focal epilepsy with midline spikes and wave during sleep	G40.3
869	Triple A syndrome	E27.4
929	Achalasia - microcephaly	Q87.5
931	Acheiropodia	Q71.3
931	Acheiropodia	Q72.3
932	Achondrogenesis	Q77.0
935	Achondroplasia - severe combined immunodeficiency	D82.2
31	Oxoglutaricaciduria	E88.8
939	3-hydroxyisobutyric aciduria	E71.1
939	3-hydroxyisobutyric aciduria	E87.2
942	Ethylmalonic aciduria	E71.1
27	Vitamin B12-unresponsive methylmalonic aciduria	E71.1
945	Acalvaria	Q75.8
166463	Epileptic syndrome	G40.3
946	Acrocephalosyndactyly	Q87.0
949	Acrocraniofacial dysostosis	Q87.0
37	Acrodermatitis enteropathica, zinc deficiency type	E83.2
950	Acrodysostosis	Q75.4
950	Acrodysostosis	Q87.0
1795	Peripheral dysostosis	Q74.8
952	Acrofacial dysostosis, Weyers type	Q75.4
953	Acromesomelic dysplasia, Brahimi-Bacha type	Q77.8
955	Acroosteolysis dominant type	M89.5
956	Acro-pectoro-renal field defect	Q87.8
957	Acropectorovertebral dysplasia	Q68.1
957	Acropectorovertebral dysplasia	Q78.8
958	Acro-renal-mandibular syndrome	Q87.8
959	Acro-renal-ocular syndrome	Q87.8
964	Acromegaly - cutis verticis gyrata - corneal leukoma	E22.0
965	Acromegaloid facial appearance syndrome	Q87.0
966	Acromegaloid facies - hypertrichosis	Q87.0
968	Acromesomelic dysplasia, Hunter-Thomson type	Q77.8
40	Acromesomelic dysplasia, Maroteaux type	Q77.8
969	Acromicric dysplasia	Q77.8
970	Hereditary sensory and autonomic neuropathy type 2	G60.8
971	Acrorenal syndrome	Q87.2
972	Hereditary continuous muscle fiber activity	G71.1
973	Unilateral adactylia	Q71.3
974	Adams-Oliver syndrome	Q87.2
978	ADULT syndrome	Q87.2
167635	Scleromyxedema	L98.5
983	Bilateral anorchidia	Q55.0
989	Hypoglossia - hypodactyly	Q87.2
990	Agnathia - holoprosencephaly - situs inversus	Q04.2
990	Agnathia - holoprosencephaly - situs inversus	Q18.2
51	Aicardi-Goutieres syndrome	G31.8
994	Fetal akinesia deformation sequence	Q87.8
665	Albright hereditary osteodystrophy	E20.1
665	Albright hereditary osteodystrophy	Q78.1
59	Allan-Herndon-Dudley syndrome	F72.1
1005	Alopecia - contractures - dwarfism - intellectual deficit	Q87.8
701	Alopecia universalis	L63.1
64	Alström syndrome	E66.0
64	Alström syndrome	H35.5
1027	Autosomal recessive amelia	Q73.0
1031	Amelogenesis imperfecta - nephrocalcinosis	Q87.8
1034	Amniotic bands	Q79.8
1035	Encephalopathy due to beta-mercaptolactate-cysteine disulfiduria	E72.1
1037	Arthrogryposis multiplex congenita	Q74.3
1041	Hydrops fetalis	P83.2
1053	Vein of Galen aneurysm	Q28.2
1071	Ankyloblepharon - ectodermal defects - cleft lip palate	Q87.8
168486	Congenital neuronal ceroid lipofuscinosis	E75.4
168491	Late infantile neuronal ceroid lipofuscinosis	E75.4
1102	Anophthalmia - hypothalamo-pituitary insufficiency	Q87.8
168558	46,XY disorder of sex development - adrenal insufficiency	Q56.1
1106	Ophthalmo acromelic syndrome	Q87.2
168572	Native American myopathy	G71.2
83	Antley-Bixler syndrome	Q87.0
168577	Hereditary cryohydrocytosis with reduced stomatin	D58.8
168588	Hyperandrogenism due to cortisone reductase deficiency	E25.8
1112	Aphalangy - hemivertebrae - urogenital-intestinal dysgenesis	Q89.7
1115	Recessive aplasia cutis congenita of limbs	Q84.8
168598	Brain demyelination due to methionine adenosyltransferase deficiency	E72.1
1125	Ocular motor apraxia, Cogan type	F82
1126	Aprosencephaly cerebellar dysgenesis	Q04.8
168629	Nonsyndromic thrombocytopenia	D69.4
168782	Childhood disintegrative disorder	F84.3
1144	Distal arthrogryposis type 6	Q68.1
1145	X-linked distal arthrogryposis multiplex congenita	Q74.3
1145	X-linked distal arthrogryposis multiplex congenita	Q12.1
1150	Arthrogryposis multiplex congenita - whistling face	Q87.8
168960	Refractory anemia with excess blasts in transformation	D46.3
1160	Chylous ascites	I89.8
1166	Asymmetric crying facies	Q38.6
1168	Ataxia - oculomotor apraxia type 1	G11.3
1170	Autosomal recessive cerebelloparenchymal disorder type 3	G11.0
1175	X-linked cerebellar ataxia	G11.1
1173	Cerebellar ataxia - hypogonadism	G11.8
1180	Ataxia - hypogonadism - choroidal dystrophy	G11.8
1185	Spinocerebellar ataxia - dysmorphism	G11.8
1186	Infantile onset spinocerebellar ataxia	G11.1
1187	Lethal ataxia with deafness and optic atrophy	Q87.8
1190	Atelosteogenesis I	Q78.8
169186	Autosomal recessive centronuclear myopathy	G71.2
169189	Autosomal dominant centronuclear myopathy	G71.2
1198	Colonic atresia	Q42.9
1203	Duodenal atresia	Q41.0
1214	Progressive hemifacial atrophy	L94.8
1215	Optic atrophy - deafness - neuropathy	H91.8
1215	Optic atrophy - deafness - neuropathy	G60.0
1215	Optic atrophy - deafness - neuropathy	H47.2
1216	Autosomal dominant congenital benign spinal muscular atrophy	G12.2
1219	Aurocephalosyndactyly	Q87.0
1221	Cheilitis glandularis	K11.2
1226	Bamforth syndrome	E03.1
1227	Bangstad syndrome	Q87.1
1228	Banki syndrome	Q68.1
109	Bannayan-Riley-Ruvalcaba syndrome	Q87.8
1229	Congenital intrauterine infection-like syndrome	Q87.8
1231	Barber-Say syndrome	Q87.0
1234	Bartsocas-Papas syndrome	Q87.2
115	Beals syndrome	Q87.8
1237	Beemer-Ertbruggen syndrome	Q87.0
169793	Severe hemophilia B	D67
1239	Behr syndrome	G11.8
169796	Moderately severe hemophilia B	D67
169799	Mild hemophilia B	D67
169802	Severe hemophilia A	D66
169805	Moderately severe hemophilia A	D66
169808	Mild hemophilia A	D66
1248	Maxillo-nasal dysplasia	Q75.8
169826	Congenital vitamin K-dependent coagulation factors deficiency	D68.2
1261	Bonnemann-Meinecke-Reich syndrome	G31.8
1263	Boomerang dysplasia	Q87.1
127	Borjeson-Forssman-Lehmann syndrome	Q87.8
1264	Tricho-retino-dento-digital syndrome	Q82.4
1266	Dermato-cardio-skeletal syndrome, Borrone type	Q87.8
1270	Bowen-Conradi syndrome	Q87.5
1276	Brachydactyly - arterial hypertension	I10
171430	Severe congenital nemaline myopathy	G71.2
171433	Intermediate nemaline myopathy	G71.2
171436	Typical nemaline myopathy	G71.2
1292	Brachymorphism - onychodysplasia - dysphalangism	Q68.1
171439	Mild nemaline myopathy	G71.2
171442	Adult onset nemaline myopathy	G71.2
1293	Brachyolmia	Q76.4
1293	Brachyolmia	Q77.7
171445	Muscle filaminopathy	G72.8
171607	X-linked spastic paraplegia type 34	G11.4
171612	Autosomal dominant spastic paraplegia type 37	G11.4
1296	Lambert syndrome	Q87.8
171617	Autosomal dominant spastic paraplegia type 38	G11.4
1297	Branchio-oculo-facial syndrome	Q18.8
171622	Autosomal recessive spastic paraplegia type 32	G11.4
171629	Autosomal recessive spastic paraplegia type 35	G11.4
1299	Branchio-skeleto-genital syndrome	Q87.8
1300	Autosomal dominant popliteal pterygium syndrome	Q68.2
1300	Autosomal dominant popliteal pterygium syndrome	Q87.2
1305	Oculo-digito-esophageal-duodenal syndrome	Q87.8
171680	Lissencephaly due to TUBA1A mutation	Q04.3
1317	CAMFAK syndrome	Q87.8
1318	Campomelia, Cumming type	Q87.8
1319	Camptobrachydactyly	Q68.1
171695	Parkinsonian-pyramidal syndrome	G20
1321	Camptodactyly - fibrous tissue hyperplasia - skeletal dysplasia	Q87.8
171703	Microcephaly - polymicrogyria - corpus callosum agenesis	Q04.0
171703	Microcephaly - polymicrogyria - corpus callosum agenesis	Q02
171703	Microcephaly - polymicrogyria - corpus callosum agenesis	Q04.3
171706	Short stature-delayed bone age due to thyroid hormone metabolism deficiency	E03.8
1325	Camptodactyly - taurinuria	Q68.1
1326	Camptodactyly syndrome, Guadalajara type 2	Q79.8
1327	Camptodactyly syndrome, Guadalajara type 1	Q74.0
1328	Camurati-Engelmann disease	Q78.3
2856	Persistent Mullerian duct syndrome	Q55.8
1335	Cantrell pentalogy	Q89.7
1336	Hyperkeratosis - hyperpigmentation syndrome	L81.8
1336	Hyperkeratosis - hyperpigmentation syndrome	Q82.8
1340	Cardiofaciocutaneous syndrome	Q87.8
171857	Leukodystrophy - spastic paraplegia - dystonia	E75.2
171863	Autosomal dominant spastic paraplegia type 42	G11.4
171881	Cap myopathy	G71.2
1361	Carnosinemia	E70.8
171915	B-cell non-Hodgkin lymphoma	C85.1
172976	Congenital myopathy with cores	G71.2
163	Hereditary hyperferritinemia with congenital cataracts	Q87.8
1377	Cataract-microcornea syndrome	Q12.0
1380	Cataract - nephropathy - encephalopathy	Q87.8
1387	Cataract - intellectual deficit - hypogonadism	Q87.8
1388	Catel-Manzke syndrome	Q87.8
1393	Cerebro-costo-mandibular syndrome	Q87.8
174590	Congenital hypogonadotropic hypogonadism	E23.0
1395	Cerebro-oculo-skeleto-renal syndrome	Q89.8
1396	Cerebro-reno-digital syndrome	Q87.8
1397	Cerebellum agenesis - hydrocephaly	Q04.3
1398	Cerebellar hypoplasia	Q04.3
1399	Richards-Rundle syndrome	G60.2
1401	CHAND syndrome	Q82.4
177901	Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1	Q87.1
177904	Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2	Q87.1
1410	Uncombable hair syndrome	Q84.1
177907	Prader-Willi syndrome due to translocation	Q87.1
177910	Prader-Willi syndrome due to imprinting mutation	Q87.1
177926	Symptomatic form of hemophilia A in female carriers	D66
177929	Symptomatic form of hemophilia B in female carriers	D67
1416	Familial articular chondrocalcinosis	M11.1
178025	Nonacquired combined pituitary hormone deficiencies without extra-pituitary malformations	E23.0
178029	Central diabetes insipidus	E23.2
1418	Lethal neonatal chondrodysplasia punctata	Q78.8
178045	Transient congenital hypothyroidism	P72.2
174	Metaphyseal chondrodysplasia, Schmid type	Q78.5
178330	Heinz body anemia	D58.2
1425	Desbuquois syndrome	Q78.8
1426	Greenberg dysplasia	Q78.8
1427	Otospondylomegaepiphyseal dysplasia	Q77.7
178345	Aromatase excess syndrome	E30.1
1429	Benign familial chorea	G25.5
1440	Ring chromosome 14	Q99.8
1443	Mosaic Ring chromosome	Q99.8
178400	Distal myopathy with anterior tibial onset	G71.0
1449	Ring chromosome 7	Q99.8
178461	X-linked myopathy with postural muscle atrophy	G71.0
178464	Hereditary myopathy with early respiratory failure	G71.0
1454	Joubert syndrome with hepatic defect	Q87.8
190	Coats disease	H35.0
178475	Wound botulism	A05.1
178478	Infantile botulism	A05.1
178481	Intestinal toxemia botulism	A05.1
178487	Adult intestinal botulism	A05.2
1466	COFS syndrome	Q87.1
178498	Hereditary neuralgic amyotrophy	G54.5
1471	Coloboma of macula - brachydactyly type B	Q87.8
178512	Folliculotropic mycosis fungoides	C84.0
178517	Localized pagetoid reticulosis	C84.0
1487	Cooks syndrome	Q74.8
1487	Cooks syndrome	Q84.6
1490	Corneal dystrophy - perceptive deafness	H18.5
178566	Mycosis fungoides and variants	C84.0
1508	Coxoauricular syndrome	Q87.1
1509	Coxo-podo-patellar syndrome	Q74.1
1513	Craniodiaphyseal dysplasia	Q87.5
1515	Sensenbrenner syndrome	Q87.5
1520	Craniofrontonasal dysplasia	Q75.1
1522	Craniometaphyseal dysplasia	Q78.8
1522	Craniometaphyseal dysplasia	Q75.1
1527	Craniosynostosis, Philadelphia type	Q75.8
1532	Lopez-Hernandez syndrome	Q87.0
179490	Obesity due to congenital leptin resistance	E66.8
1540	Jackson-Weiss syndrome	Q87.0
179494	Obesity due to leptin receptor gene deficiency	E66.8
1545	Crisponi syndrome	Q87.0
1553	Curry-Jones syndrome	Q87.0
1568	Intellectual deficit, X-linked - Dandy-Walker malformation - basal ganglia disease - Seizures	Q03.1
1569	De Sanctis-Cacchione syndrome	Q82.1
1571	Knobloch syndrome	H33.5
1551	Familial benign Copper deficiency	E83.0
1979	Lipodystrophy due to peptidic growth factors deficiency	E88.1
382	Guanidinoacetate methyltransferase deficiency	E72.8
742	Prolidase deficiency	E72.8
859	Transcobalamin II deficiency	D51.2
726	Alpers syndrome	G31.8
1573	Juvenile macular degeneration - hypotrichosis	Q87.8
1606	Distal monosomy 1p36	Q93.5
1617	Deletion 2q24	Q93.5
1647	Oculocerebrocutaneous syndrome	Q87.8
1659	Dermatoleukodystrophy	E75.2
1662	Lethal restrictive dermopathy	Q82.8
1667	Wolcott-Rallison syndrome	Q77.7
1667	Wolcott-Rallison syndrome	E10
1671	Diastematomyelia	Q06.2
1674	Digitorenocerebral syndrome	Q87.8
1680	Spastic diplegia, infantile type	G83.8
1682	Arterial dissection - lentiginosis	Q87.8
1766	Dysequilibrium syndrome	G11.8
1772	45,X/46,XY gonadal dysgenesis	Q98.7
1777	Temtamy syndrome	Q87.8
1782	Dysosteosclerosis	Q78.8
181368	Insulin-resistance syndrome	E11
1784	Acro-fronto-facio-nasal dysostosis	Q75.1
1784	Acro-fronto-facio-nasal dysostosis	Q87.0
181371	Rare insulin-dependent diabetes mellitus	E10
181376	Rare insulin-independent diabetes mellitus	E11
181381	Other rare diabetes mellitus	E13
1786	Acrofacial dysostosis, Catania type	Q75.4
1788	Acrofacial dysostosis, Rodriguez type	Q75.4
1790	Hypomandibular faciocranial dysostosis	Q75.4
181393	Growth hormone insensitivity syndrome	E34.3
181399	Rare hyperthyroidism	E05
1798	Dysostosis, Stanescu type	Q78.8
1799	Familial developmental dysphasia	F80.1
181405	Rare hypoparathyroidism	E20
181408	Rare hyperparathyroidism	E21
181412	Adrenogenital syndrome	E25
181415	Rare primary hyperaldosteronism	E26
181419	Rare hypoaldosteronism	E27.4
181422	Rare hyperlipidemia	E78
181425	Major hypertriglyceridemia	E78.1
181428	Hyperalphalipoproteinemia	E78.4
181431	Rare hypolipidemia	E78.6
181434	Benign familial hypobetalipoproteinemia	E78.6
251	Multiple epiphyseal dysplasia	Q77.8
182047	Rare acquired hemolytic anemia	D59
182050	MYH9-related thrombocytopenia	D69.4
1834	Axial mesodermal dysplasia spectrum	Q89.8
1836	Mesomelic dysplasia, Kantaputra type	Q87.1
1838	Metaphyseal dysplasia without hypotrichosis	Q78.5
1842	Lethal bone dysplasia, Holmgren type	Q77.8
1852	X-linked retinal dysplasia	Q14.1
254	Spondylometaphyseal dysplasia	Q78.5
1865	Dyssegmental dysplasia, Silverman-Handmaker type	Q87.1
1867	Bullous dystrophy, macular type	Q81.8
1871	Progressive cone dystrophy	H35.5
1872	Cone rod dystrophy	H35.5
1875	Congenital muscular dystrophy -  infantile cataract - hypogonadism	Q87.8
1875	Congenital muscular dystrophy -  infantile cataract - hypogonadism	G71.2
1816	Ectodermal dysplasia, Berlin type	Q82.4
1818	Ectodermal dysplasia, tricho-odonto-onychial type	Q82.8
1889	Ectrodactyly - cleft palate	Q87.8
1892	Ectrodactyly - polydactyly	Q73.8
1892	Ectrodactyly - polydactyly	Q69.9
1896	EEC syndrome	Q82.4
1897	EEM syndrome	Q87.8
1906	Fetal valproate syndrome	Q86.8
1908	Aminopterin embryofetopathy	Q86.8
1909	Indomethacin embryofetopathy	Q86.8
1910	Fetal iodine syndrome	E00.9
1911	Cocaine embryofetopathy	P04.4
1911	Cocaine embryofetopathy	Q86.8
1918	Fetal minoxidil syndrome	Q86.8
1912	Fetal hydantoin syndrome	Q86.1
1913	Fetal trimethadione syndrome	Q86.8
1914	Oral anticoagulant therapy, embryofetopathy due to	Q86.2
294	Fetal cytomegalovirus syndrome	P35.1
1916	Diethylstilbestrol syndrome	Q86.8
1917	Fetal methylmercury syndrome	T56.1
1919	Phenobarbital embryopathy	Q86.8
1920	Toluene embryopathy	Q86.8
1923	Methimazole embryofetopathy	Q86.8
1926	Diabetic embryopathy	P00.8
2209	Maternal hyperphenylalaninemia	E70.1
2209	Maternal hyperphenylalaninemia	P00.8
1954	Congenital lethal erythroderma	Q80.8
1956	Erythromelalgia	I73.8
1960	Exencephaly	Q04.8
1972	Lethal faciocardiomelic dysplasia	Q87.8
1974	Autosomal recessive facio-digito-genital syndrome	Q87.1
1980	Bilateral striopallidodentate calcinosis	G23.8
1984	Fechtner syndrome	D69.4
1993	Pai syndrome	Q87.8
1997	Blepharo-cheilo-odontic syndrome	Q87.8
2004	Laryngo-tracheo-esophageal cleft	Q31.8
2006	Median cleft lip/mandibule	Q36.1
2007	Alar cartilages hypoplasia - coloboma - telecanthus	Q75.8
2008	Acro-cardio-facial syndrome	Q87.8
2016	Cleft palate-lateral synechia syndrome	Q87.8
2019	Femur-fibula-ulna complex	Q72.8
2021	Fibrochondrogenesis	Q78.8
2022	Endomyocardial fibroelastosis	I42.4
2024	Autosomal dominant gingival fibromatosis	K06.1
2026	Gingival fibromatosis - hypertrichosis	Q87.8
2027	Gingival fibromatosis  - progressive deafness	Q87.8
2028	Juvenile hyaline fibromatosis	M72.9
2824	Paraplegia - intellectual deficit - hyperkeratosis	F79.1
2824	Paraplegia - intellectual deficit - hyperkeratosis	G82.1
2044	Floating-Harbor syndrome	Q87.8
2045	FLOTCH syndrome	L72.1
2045	FLOTCH syndrome	L60.8
2047	Flynn-Aird syndrome	Q87.8
2050	Cole-Carpenter syndrome	Q78.0
1791	Fronto-facio-nasal dysostosis	Q75.8
1826	Frontometaphyseal dysplasia	Q78.5
250	Frontonasal dysplasia	Q75.8
2059	Fryns syndrome	Q87.8
2065	Galloway-Mowat syndrome	Q87.0
2067	GAPO syndrome	Q87.8
2068	Gardner-Morrison-Abbott syndrome	D69.8
189424	ACTH independent Cushing syndrome due to bilateral adrenocortical hyperplasia	E24.8
2072	Gaucher disease - ophthalmoplegia - cardiovascular calcification	E75.2
189427	ACTH-independent macronodular adrenal hyperplasia	E24.8
189432	ACTH independent Cushing syndrome due to unilateral tumor	E24.8
2075	Genito-palato-cardiac syndrome	Q87.8
189439	Primary pigmented nodular adrenocortical disease	E24.8
189466	Familial isolated hypoparathyroidism due to impaired PTH secretion	E20.8
199237	Hereditary inclusion body myositis	G72.8
199244	Nelson syndrome	E24.1
199247	Corticosteroid-binding globulin deficiency	E27.8
2084	Glaucoma - ectopia - microspherophakia - stiff joints - short stature	Q87.1
2092	Focal dermal hypoplasia	Q82.8
199282	Harlequin syndrome	G90.8
199285	Hereditary hypercarotenemia and vitamin A deficiency	E50
376	Gordon syndrome	Q87.8
199296	Congenital isolated ACTH deficiency	E23.6
2095	Gorlin-Chaudhry-Moss syndrome	Q87.8
199299	Late-onset isolated ACTH deficiency	E23.6
2098	Acromesomelic dysplasia, Grebe type	Q77.8
380	Greig cephalopolysyndactyly syndrome	Q87.0
199329	Congenital myopathy, Paradas type	G71.2
2108	Hallermann-Streiff-François syndrome	Q87.8
